Element_no.,node_1,node_2,node_3
1222,612,613,531
1223,626,774,533
1224,539,1297,632
1225,558,1115,1114
1226,620,622,561
1227,582,760,682
1228,591,714,590
1229,605,610,606
1230,730,1175,611
1231,634,771,619
1232,670,1070,1069
1233,1160,1161,672
1234,675,1164,790
1235,683,1175,1098
1236,1098,1182,683
1237,703,1157,1156
1238,1214,1248,705
1239,710,866,723
1240,722,805,732
1241,1097,1175,730
1242,748,814,750
1243,793,816,754
1244,987,988,846
1245,847,877,876
1246,1030,1273,1031
1247,1158,1159,1157
1248,26,141,25
1249,26,1080,141
1250,137,944,53
1251,59,142,58
1252,92,143,91
1253,92,1120,143
1254,125,144,124
1255,930,931,138
1256,1049,1238,160
1257,203,205,204
1258,213,215,214
1259,245,670,243
1260,244,1036,247
1261,247,249,248
1262,247,250,249
1263,249,251,248
1264,249,1106,251
1265,250,806,554
1266,255,1250,1158
1267,1106,1185,256
1268,267,268,263
1269,272,278,274
1270,289,1085,294
1271,291,292,290
1272,294,295,291
1273,294,665,300
1274,300,301,295
1275,300,304,301
1276,300,1032,304
1277,304,340,339
1278,664,999,306
1279,320,1184,322
1280,337,344,343
1281,340,346,345
1282,351,426,342
1283,359,1099,345
1284,353,362,352
1285,371,530,370
1286,411,412,408
1287,412,415,414
1288,457,473,460
1289,492,494,493
1290,495,497,494
1291,496,503,502
1292,507,508,500
1293,502,523,501
1294,503,532,504
1295,1167,1210,503
1296,509,510,508
1297,518,568,567
1298,523,689,688
1299,588,589,527
1300,530,612,531
1301,774,985,533
1302,555,575,574
1303,624,716,565
1304,568,731,727
1305,629,741,740
1306,778,809,630
1307,665,1055,1032
1308,803,1079,679
1309,687,753,686
1310,707,1238,706
1311,777,1086,891
1312,780,1128,893
1313,892,910,781
1314,810,827,811
1315,895,1249,1246
1316,949,951,950
1317,1048,1059,1047
1318,40,188,39
1319,100,1049,99
1320,144,1095,124
1321,195,1035,197
1322,197,660,199
1323,199,200,198
1324,254,547,252
1325,274,276,275
1326,314,315,313
1327,320,322,321
1328,354,1110,321
1329,377,378,375
1330,470,1154,378
1331,514,1138,422
1332,536,537,474
1333,481,482,480
1334,483,485,484
1335,489,1064,486
1336,488,491,490
1337,511,519,518
1338,511,580,519
1339,589,590,527
1340,607,608,528
1341,1064,1198,544
1342,613,615,614
1343,712,1204,671
1344,678,680,679
1345,718,720,719
1346,720,722,721
1347,866,889,723
1348,744,834,833
1349,748,749,747
1350,827,856,811
1351,883,886,885
1352,998,1146,1035
1353,162,1129,8
1354,147,1026,15
1355,42,161,41
1356,145,194,193
1357,145,998,195
1358,199,201,200
